intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
22,0,3369448332000,152,-2500,2.052,0.04933136,1.8590893,-0.8672127
61,1,3369448332000,35592,-100,1.3520001,-0.096179575,1.3483684,-0.023595655
49,2,3369448334304,152,-166,1.276,0.033832714,1.2750112,-0.037119523
11,3,3369448334304,35872,-1563,0,-0,0,-0
10,4,3369448336608,152,-1131,1.304,0.033918045,1.278227,-0.25573695
56,5,3369448336608,35872,0,1.312,-0.029307805,1.3116727,0
15,6,3369448338912,432,-66,1.312,0.09882206,1.3081838,-0.015273102
6,7,3369448338912,35872,-884,1.5040001,-0.0331974,1.4857517,-0.2312061
17,8,3369448341216,152,-725,1.284,0.03378664,1.2732749,-0.1621284
99,9,3369448341216,35592,33,1.348,-0.095908,1.3445611,0.007834461
46,10,3369448343520,152,-33,1.292,0.034270875,1.2915237,-0.007508993
7,11,3369448343520,35872,-614,1.44,-0.031982098,1.4313607,-0.15421975
14,12,3369448345824,432,-533,1.2880001,0.09660095,1.2787813,-0.11971197
60,13,3369448345824,35872,133,1.304,-0.029121216,1.3033218,0.030335132
19,14,3369448348128,432,66,1.304,0.098219484,1.3002071,0.015179973
8,15,3369448348128,35872,-400,1.34,-0.02986036,1.3364023,-0.09347367
22,16,3369448350432,152,-466,1.2800001,0.03384057,1.2753073,-0.10414653
54,17,3369448350432,35592,166,1.34,-0.09530007,1.3360384,0.03898132
31,18,3369448352736,152,100,1.276,0.033841886,1.2753568,0.02226927
6,19,3369448352736,35592,-366,1.4480001,-0.102813646,1.4413732,-0.09261052
28,20,3369448355040,432,-333,1.284,0.09655601,1.2781863,-0.0746505
42,21,3369448355040,35872,333,1.2,-0.026760578,1.1976714,0.06976683
92,22,3369448357344,152,233,1.3080001,0.03466711,1.3064561,0.053245123
9,23,3369448357344,35872,-266,1.3240001,-0.029543832,1.3222361,-0.06160721
17,24,3369448359648,152,-300,1.2880001,0.03411853,1.2857825,-0.06740872
31,25,3369448359648,35872,700,1.2080001,-0.026783487,1.1986967,0.14721818
64,26,3369448361952,152,466,1.192,0.03151403,1.1876298,0.09698646
38,27,3369448361952,35592,-233,1.3720001,-0.097536296,1.3673886,-0.05585039
66,28,3369448364256,432,-200,1.2800001,0.096359566,1.2755859,-0.044671357
55,29,3369448364256,35872,1500,1.3240001,-0.02856809,1.2785667,0.34267643
48,30,3369448366560,152,1033,1.304,0.034028783,1.2824003,0.23389702
93,31,3369448366560,35872,-133,1.3080001,-0.029210547,1.3073199,-0.030428186
